nome;base;calorias;proteina;carboidrato;energia;colesterol;lipideos;fibra;vitamina C;ferro;calcio;sodio;magnesio;potassio;manganes;fosforo;cobre;zinco;cinzas;retinol;tiamina;riboflavina;piridoxina;niacina;re;era;umidade
Abacate Cru;100;96;1,2;6;402;0;8,4;6,3;0;0;8;0;15;0;0;0;0;0;0,5;0;0;0;0;0;0;0;83,6
Abacaxi Cru;100;48;0,9;12,3;202;0;0,1;1;34,6;0,3;22;0;18;131;1,62;13;0,11;0,1;0,4;0;0,17;0,02;Tr;Tr;0;0;86,3
Atum;100;118;25,7;0;492;48;0,9;0;0;1,3;7;30;32;308;Tr;254;0,09;0,4;1,3;20;Tr;0,04;Tr;5,94;20;20;73,1
Camarao Frito;100;231;18,4;2,9;968;283;158,6;0;0;2,4;850;99;74;107;0,38;337;0,19;1,1;2,1;0;0,05;0;0;0,35;0;0;61
Feijao Carioca;100;76;4,8;13,6;320;0;0,5;8,5;0;1,3;27;2;42;255;0,28;87;0,19;0,7;0,7;0;0,04;0;0;0;0;0;80,4
Ervilha Enlatada;100;74;4,6;13,4;309;0;0,4;5,1;0;1,4;22;372;23;147;0,46;79;0,14;0,9;1,4;0;0,07;0,03;0;0;9;9;80,1
Alface Americana;100;9;0,6;1,7;37;0;0,1;1;11;0,3;14;7;6;136;0,12;19;0,02;0,2;0,3;0;0,036;0;0,04;0;0;0;97,2
Batata Doce;100;77;0,6;18,4;321;0;0,1;2,2;23,8;0,2;17;3;11;148;0,14;15;0,06;0,1;0,4;0;0,08;0;0,05;2,57;0;0;80,4
Queijo Prato;100;360;22,7;1,9;1506;91;29,1;0;0;0,3;940;580;28;73;0,03;461;0,1;3,5;3,9;123;0;0,22;0;0;0;0;42,4
Arroz Integral;100;124;2,96;25,8;517;0;1;2,7;0;0,3;5;1;59;75;0,63;106;0,02;0,7;4;0;0,08;0;0,08;0;0;0;70,1
Macarrao Instantaneo;100;436;8,8;62,4;1824;0;17,2;5,6;0;0,8;18;1516;19;148;0,25;112;0,1;0,5;5,6;0;1,18;0,04;0,53;9,37;0;0;6
Quibe Assado;100;136;14,6;12,9;570;34;2,7;1,9;0;2,2;16;40;36;288;0,76;174;0,51;4,1;0,9;0;0,04;0,04;0;1,81;0;0;69
Frango Coxa Assado;100;215;28,5;0,1;900;145;10,4;0;0;1,2;8;95;14;318;0;251;0,05;2,6;1,3;6;0,05;0,05;0;10,4;6;6;59,8
Hamburguer Grelhado;100;210;13,2;11,3;878;59;12,4;0;0;2,6;56;1090;48;538;0,4;263;0,18;3;3,9;0;0,18;0,06;0;5,77;0;0;59,2
Ovo de Galinha Cozido;100;146;13,3;0,6;410;197;9,5;0;0;1,5;49;146;11;139;0,02;184;0,04;1,2;0,8;32;0,08;0,3;0;0;0;0;75,8
