nome;id;base;Calorias;Proteína;Carboidrato;Energia;Colesterol;Lipídeos;Fibra Alimentar;Vitamina C;Ferro;Cálcio;Sódio;Magnésio;Potássio;Manganês;Fósforo;Cobre;Zinco;Retinol;Tiamina;Riboflavina;Piridoxina;Niacina;RE;RAE;Umidade
Abacate, cru;536;100;96;1,2;6;402.00;0;8,4;6,3;0;0;8;0;15;0;0;0;0;0;0;0;0;0;0;0;0;83,8
Abacaxi, polpa, congelada;457;100;31;0,5;7,8;128.0;0;0,1;0,3;1,2;0,4;14;1;10;107;1,02;8;0,04;0,1;0;0,05;0;0;0;2;2;91,3
Abadejo, filé, congelado, assado;382;100;112;23,5;0;467.0;103;1,2;0;0;0,5;23;334;20;156;0;338;0,03;0,5;0;0;0;0;0,44;0;0;74,3
Abadejo, filé, congelado, cru;437;100;59;13,1;0;247.0;31;0,4;0;0;0,1;10;79;14;148;0,01;91;0,14;0,4;0;0,04;0;0;4,6;0;0;86,4
Abadejo, filé, congelado, grelhado;337;100;130;27,6;0;542.0;136;1,3;0;0;0,3;20;305;22;279;0;581;0;0,4;6;0,03;0;0;0,44;6;6;71
Abadejo, filé, congelado,cozido;82;100;91;19,3;0;381.0;87;0,9;0;0;0,3;17;189;16;146;0;351;0,03;0,4;0;0;0;0;0;0;0;79,7
Abiu, cru;488;100;62;0,8;14,9;261.0;0;0,7;1,7;10,3;0,2;6;0;9;128;0,08;20;0,09;0,1;0;0;0,04;0,05;0;0;0;83,1
Abobora, pescoço, crua;563;100;24;0,7;6,1;102.0;0;0,1;2,3;2,1;0,3;9;1;7;264;0,07;32;0,09;0,2;0;0;0;0,06;0;0;0;92,5
Abobrinha, italiana, cozida;48;100;15;1,1;3;63.0;0;0,2;1,6;2,1;0,2;17;1;17;126;0,11;22;0,01;0,3;0;0,05;0;0,06;0;0;0;95,3
Abobrinha, italiana, crua;24;100;19;1,1;4,3;81.0;0;0,1;1,4;6,9;0,2;15;0;20;253;0,09;32;0,05;0,2;0;0;0,06;0,03;0;41;41;93,9
Abobrinha, italiana, refogada;386;100;24;1,1;4,2;102.0;0;0,8;1,4;7,5;0,4;21;2;13;194;0,14;32;0,02;0,3;0;0,04;0;0;0;42;42;93,5
